Rk,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
2672,Virgil van Dijk,DF,Liverpool,eng Premier League,32.0,36,36,3177,35.3,2,2,4,2,0,0,3,1,2.8,1.6,4.4,32.0,200.0,7.0,0.06,0.06,0.11,0.06,0.11,0.08,0.04,0.12,0.08,0.12
2671,Siebe Van Der Heyden,DF,Mallorca,es La Liga,25.0,6,4,286,3.2,0,0,0,0,0,0,2,1,0.2,0.0,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
2667,Jesús Vallejo,DF,Granada,es La Liga,26.0,3,1,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2666,Martin Valjent,DF,Mallorca,es La Liga,27.0,28,28,2349,26.1,0,1,1,0,0,0,5,0,0.3,0.9,1.2,22.0,61.0,27.0,0.0,0.04,0.04,0.0,0.04,0.01,0.03,0.05,0.01,0.05
99,Kelvin Amian,DF,Nantes,fr Ligue 1,25.0,12,11,798,8.9,0,1,1,0,0,0,2,0,0.1,0.6,0.6,12.0,28.0,21.0,0.0,0.11,0.11,0.0,0.11,0.01,0.07,0.07,0.01,0.07
100,Bruno Amione,DF,Hellas Verona,it Serie A,21.0,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.0,0.3,2.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.05,0.05,0.05
90,Yeray Álvarez,DF,Athletic Club,es La Liga,28.0,19,14,1152,12.8,0,0,0,0,0,0,1,1,0.3,0.1,0.4,13.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
101,Michael Amir Murillo,DF,Marseille,fr Ligue 1,27.0,16,10,997,11.1,3,2,5,3,0,0,3,0,0.8,1.2,2.0,6.0,35.0,52.0,0.27,0.18,0.45,0.27,0.45,0.07,0.11,0.18,0.07,0.18
2663,Josha Vagnoman,DF,Stuttgart,de Bundesliga,22.0,18,12,1183,13.1,2,2,4,2,0,0,2,0,1.3,1.3,2.6,19.0,33.0,67.0,0.15,0.15,0.3,0.15,0.3,0.1,0.1,0.2,0.1,0.2
2659,Dayot Upamecano,DF,Bayern Munich,de Bundesliga,24.0,25,19,1762,19.6,1,0,1,1,0,0,3,1,1.7,0.5,2.1,28.0,137.0,10.0,0.05,0.0,0.05,0.05,0.05,0.08,0.02,0.11,0.08,0.11
2655,Samuel Umtiti,DF,Lille,fr Ligue 1,29.0,6,2,185,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Joachim Andersen,DF,Crystal Palace,eng Premier League,27.0,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,2.8,4.5,21.0,147.0,10.0,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12
2650,Matthieu Udol,DF,Metz,fr Ligue 1,27.0,30,30,2700,30.0,3,3,6,3,0,0,5,0,1.4,3.1,4.5,46.0,98.0,86.0,0.1,0.1,0.2,0.1,0.2,0.05,0.1,0.15,0.05,0.15
2649,Destiny Udogie,DF,Tottenham,eng Premier League,20.0,28,28,2391,26.6,2,3,5,2,0,0,7,1,2.4,2.2,4.6,83.0,155.0,138.0,0.08,0.11,0.19,0.08,0.19,0.09,0.08,0.17,0.09,0.17
2643,Kostas Tsimikas,DF,Liverpool,eng Premier League,27.0,13,8,679,7.5,0,3,3,0,0,0,0,0,0.1,1.0,1.1,24.0,31.0,73.0,0.0,0.4,0.4,0.0,0.4,0.01,0.14,0.15,0.01,0.15
112,Miguel Ángel Rubio,DF,Granada,es La Liga,25.0,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.8,0.1,0.9,7.0,27.0,1.0,0.06,0.0,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05
113,Angeliño,DF,Roma,it Serie A,26.0,16,14,1141,12.7,0,1,1,0,0,0,2,0,0.2,1.6,1.7,12.0,40.0,55.0,0.0,0.08,0.08,0.0,0.08,0.01,0.12,0.14,0.01,0.14
2665,Emanuele Valeri,DF,Frosinone,it Serie A,24.0,16,14,1178,13.1,0,1,1,0,0,0,3,0,0.9,2.4,3.3,38.0,41.0,61.0,0.0,0.08,0.08,0.0,0.08,0.07,0.19,0.25,0.07,0.25
2680,Kevin Vázquez,DF,Celta Vigo,es La Liga,30.0,12,10,700,7.8,0,0,0,0,0,0,3,0,0.0,0.2,0.2,6.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.03
2681,Lucas Vázquez,DF,Real Madrid,es La Liga,32.0,29,14,1419,15.8,3,6,9,3,0,0,0,0,1.2,3.8,4.8,28.0,58.0,160.0,0.19,0.38,0.57,0.19,0.57,0.07,0.24,0.31,0.07,0.31
87,Gastón Álvarez,DF,Getafe,es La Liga,23.0,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.7,0.6,1.4,11.0,63.0,40.0,0.07,0.0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05
62,David Alaba,DF,Real Madrid,es La Liga,31.0,14,14,1154,12.8,0,1,1,0,0,0,2,0,1.0,0.7,1.6,9.0,51.0,13.0,0.0,0.08,0.08,0.0,0.08,0.08,0.05,0.13,0.08,0.13
2742,Joel Ward,DF,Crystal Palace,eng Premier League,33.0,26,23,1980,22.0,0,1,1,0,0,0,4,0,0.9,0.2,1.1,16.0,66.0,14.0,0.0,0.05,0.05,0.0,0.05,0.04,0.01,0.05,0.04,0.05
